A1VVR9MA1P9HWJ:3X4JMASXCOG50I0FMV80HDNOBXG0BM,engagement,3
A1VVR9MA1P9HWJ:3X4JMASXCOG50I0FMV80HDNOBXG0BM,natural,3
A3CJBVOK16PA00:33OOO72IVJSPQWPCYXS5C8VBQTDTCY,engagement,4
A3CJBVOK16PA00:33OOO72IVJSPQWPCYXS5C8VBQTDTCY,natural,4
A385F5ZBEV6GWD:3VELCLL3GMQVKOXDNGYWE8XJVNE1F8,engagement,4
A385F5ZBEV6GWD:3VELCLL3GMQVKOXDNGYWE8XJVNE1F8,natural,2
A6SR4BU227GUH:32KTQ2V7RFMJF3SPDGH2O4ZBQ0E9MW,engagement,4
A6SR4BU227GUH:32KTQ2V7RFMJF3SPDGH2O4ZBQ0E9MW,natural,3
A2C7TMRC2QHTIW:3VA45EW49PUPQ1A6MJHM126XNOBO1N,engagement,4
A2C7TMRC2QHTIW:3VA45EW49PUPQ1A6MJHM126XNOBO1N,natural,4
A2372C8FI95LG3:39LNWE0K4W3V3CQ1QCE1S7F8MCBIUN,engagement,4
A2372C8FI95LG3:39LNWE0K4W3V3CQ1QCE1S7F8MCBIUN,natural,2
A2M3KQ9CKP7YW:3ZDAD0O1T3KDTU07PTOSQLGLRB4XT7,engagement,4
A2M3KQ9CKP7YW:3ZDAD0O1T3KDTU07PTOSQLGLRB4XT7,natural,3
A21C3WNJNCEA58:3RGU30DZTCF8LF5YZS8FDYDEM5XMJB,engagement,3
A21C3WNJNCEA58:3RGU30DZTCF8LF5YZS8FDYDEM5XMJB,natural,1
A3NMQ3019X6YE0:3QXNC7EIPK2MCPLIOBU4Q7SYNXD09C,engagement,5
A3NMQ3019X6YE0:3QXNC7EIPK2MCPLIOBU4Q7SYNXD09C,natural,3
A1ELPYAFO7MANS:3WYP994K19YWR1F5YC21YPVG99Q6YE,engagement,3
A1ELPYAFO7MANS:3WYP994K19YWR1F5YC21YPVG99Q6YE,natural,2
