A1X04W4VU2I2CY:3X3OR7WPZ17ZVGRU8CA9OVPB6WGL85,engagement,4
A1X04W4VU2I2CY:3X3OR7WPZ17ZVGRU8CA9OVPB6WGL85,natural,2
A1VL7AAOUPDN72:34T446B1C2LOANSL0V4VSXT6TPR0CI,engagement,5
A1VL7AAOUPDN72:34T446B1C2LOANSL0V4VSXT6TPR0CI,natural,5
A1B76WYZ47BQJ:3WMOAN2SRD4NUSQSSI1YT1D8MPHNVE,engagement,3
A1B76WYZ47BQJ:3WMOAN2SRD4NUSQSSI1YT1D8MPHNVE,natural,3
ACAJFF4MF5S5X:3QRYMNZ7F0O8H0M3NN1JSJPNP41NTY,engagement,4
ACAJFF4MF5S5X:3QRYMNZ7F0O8H0M3NN1JSJPNP41NTY,natural,2
A1X1OL9L162X8Q:3X1FV8S5JZYHK0965EO33H4BLDVVGE,engagement,4
A1X1OL9L162X8Q:3X1FV8S5JZYHK0965EO33H4BLDVVGE,natural,4
A14WLAP6TCEKO0:3A0EX8ZRNAV2XDW0U3J995H8NH6YBA,engagement,4
A14WLAP6TCEKO0:3A0EX8ZRNAV2XDW0U3J995H8NH6YBA,natural,4
A10BY3JE3Q69TE:3PZDLQMM0VSV6XVZFI89BLMLQNB2C4,engagement,3
A10BY3JE3Q69TE:3PZDLQMM0VSV6XVZFI89BLMLQNB2C4,natural,5
A1QVNF19XSRSD7:3B1NLC6UG134FGCAJ2F4XPFTZPZPGS,engagement,4
A1QVNF19XSRSD7:3B1NLC6UG134FGCAJ2F4XPFTZPZPGS,natural,4
A3AJR1PM02424Y:308XBLVESKBT0CKEG8RF19OBKUXRB7,engagement,4
A3AJR1PM02424Y:308XBLVESKBT0CKEG8RF19OBKUXRB7,natural,3
A3R7G7ECIHYPK3:3Z2R0DQ0JJLA3VFDB9E419MOBZO2EX,engagement,5
A3R7G7ECIHYPK3:3Z2R0DQ0JJLA3VFDB9E419MOBZO2EX,natural,5
